FeatureCode,Start Date ,End Date,Equity Loans,Loan category
E07000189,01 April 2013,30 September 2019,776,Total Equity Loans
E07000187,01 April 2013,30 September 2019,469,Equity Loans to First Time Buyers
E07000187,01 April 2013,30 September 2019,605,Total Equity Loans
E07000188,01 April 2013,30 September 2019,714,Equity Loans to First Time Buyers
E07000188,01 April 2013,30 September 2019,876,Total Equity Loans
E09000019,01 April 2013,30 September 2019,116,Equity Loans to First Time Buyers
E09000019,01 April 2013,30 September 2019,118,Total Equity Loans
E09000007,01 April 2013,30 September 2019,97,Equity Loans to First Time Buyers
E09000007,01 April 2013,30 September 2019,100,Total Equity Loans
E09000012,01 April 2013,30 September 2019,403,Equity Loans to First Time Buyers
E09000012,01 April 2013,30 September 2019,489,Total Equity Loans
E09000014,01 April 2013,30 September 2019,175,Equity Loans to First Time Buyers
E09000014,01 April 2013,30 September 2019,180,Total Equity Loans
E09000010,01 April 2013,30 September 2019,375,Equity Loans to First Time Buyers
E09000010,01 April 2013,30 September 2019,393,Total Equity Loans
E09000031,01 April 2013,30 September 2019,779,Equity Loans to First Time Buyers
E09000031,01 April 2013,30 September 2019,807,Total Equity Loans
E09000025,01 April 2013,30 September 2019,832,Equity Loans to First Time Buyers
E09000025,01 April 2013,30 September 2019,859,Total Equity Loans
E06000057,01 April 2013,30 September 2019,1454,Equity Loans to First Time Buyers
E06000057,01 April 2013,30 September 2019,1814,Total Equity Loans
E07000028,01 April 2013,30 September 2019,453,Equity Loans to First Time Buyers
E07000028,01 April 2013,30 September 2019,574,Total Equity Loans
E07000240,01 April 2013,30 September 2019,164,Equity Loans to First Time Buyers
E07000240,01 April 2013,30 September 2019,188,Total Equity Loans
E07000241,01 April 2013,30 September 2019,315,Equity Loans to First Time Buyers
E07000241,01 April 2013,30 September 2019,365,Total Equity Loans
E07000096,01 April 2013,30 September 2019,608,Equity Loans to First Time Buyers
E07000096,01 April 2013,30 September 2019,711,Total Equity Loans
E06000056,01 April 2013,30 September 2019,2643,Equity Loans to First Time Buyers
E06000056,01 April 2013,30 September 2019,3542,Total Equity Loans
E07000099,01 April 2013,30 September 2019,227,Equity Loans to First Time Buyers
